Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol
Keltner Tuned (ATR 2.0 + EMA),108091.49,8091.49,8.09,2,0,1,0.0,16.13,31.0,-0.607,EFFWA-ST
Keltner + EMA Cross (NEW),96161.51,-3838.49,-3.84,1,0,1,0.0,10.09,157.0,-4.387,EFFWA-ST
Keltner Breakout (ATR 1.5),118123.6,18123.6,18.12,4,1,2,25.0,17.3,104.0,0.288,EFFWA-ST
Bollinger RSI,128634.78,28634.78,28.63,1,1,0,100.0,21.48,44.0,0.546,EFFWA-ST
Squeeze Breakout,79323.08,-20676.92,-20.68,4,1,3,25.0,24.7,157.0,-1.596,EFFWA-ST
Keltner Tuned (ATR 2.0 + EMA),93834.15,-6165.85,-6.17,1,0,1,0.0,11.0,202.0,-3.108,ELIN
Keltner + EMA Cross (NEW),92790.31,-7209.69,-7.21,1,0,1,0.0,7.95,99.0,-2.803,ELIN
Keltner Breakout (ATR 1.5),90407.97,-9592.03,-9.59,2,1,1,50.0,20.97,202.0,-1.68,ELIN
Bollinger RSI,66379.56,-33620.44,-33.62,1,0,0,0.0,39.55,101.0,-1.387,ELIN
Squeeze Breakout,113519.05,13519.05,13.52,4,2,1,50.0,15.61,112.0,0.031,ELIN
Keltner Tuned (ATR 2.0 + EMA),106609.88,6609.88,6.61,1,1,0,100.0,10.24,39.0,-0.967,ELLEN
Keltner + EMA Cross (NEW),102902.93,2902.93,2.9,1,1,0,100.0,17.84,39.0,-3.478,ELLEN
Keltner Breakout (ATR 1.5),116096.36,16096.36,16.1,1,1,0,100.0,10.02,39.0,0.192,ELLEN
Bollinger RSI,54042.32,-45957.68,-45.96,1,0,0,0.0,61.17,189.0,-9.054,ELLEN
Squeeze Breakout,113368.95,13368.95,13.37,5,3,2,60.0,15.25,29.0,0.063,ELLEN
Keltner Tuned (ATR 2.0 + EMA),113604.56,13604.56,13.6,3,1,1,33.33,14.29,110.0,0.052,FIVESTAR
Keltner + EMA Cross (NEW),108030.63,8030.63,8.03,2,0,1,0.0,11.06,163.0,-0.322,FIVESTAR
Keltner Breakout (ATR 1.5),122990.03,22990.03,22.99,3,1,1,33.33,9.72,109.0,0.379,FIVESTAR
Bollinger RSI,105847.91,5847.91,5.85,2,2,0,100.0,23.61,57.0,-1.281,FIVESTAR
Squeeze Breakout,135153.4,35153.4,35.15,5,3,1,60.0,10.37,72.0,0.742,FIVESTAR
Keltner Tuned (ATR 2.0 + EMA),91116.52,-8883.48,-8.88,3,1,2,33.33,16.86,214.0,-3.162,FORCEMOT
Keltner + EMA Cross (NEW),79304.17,-20695.83,-20.7,4,1,3,25.0,21.16,165.0,-3.491,FORCEMOT
Keltner Breakout (ATR 1.5),90074.6,-9925.4,-9.93,5,2,3,40.0,22.31,214.0,-3.041,FORCEMOT
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,FORCEMOT
Squeeze Breakout,101411.74,1411.74,1.41,3,1,2,33.33,13.22,43.0,-0.573,FORCEMOT
Keltner Tuned (ATR 2.0 + EMA),101116.03,1116.03,1.12,5,2,3,40.0,11.58,198.0,-1.013,FORTIS
Keltner + EMA Cross (NEW),94572.15,-5427.85,-5.43,1,0,1,0.0,9.01,85.0,-3.395,FORTIS
Keltner Breakout (ATR 1.5),107876.28,7876.28,7.88,5,3,2,60.0,11.18,173.0,-0.253,FORTIS
Bollinger RSI,102832.37,2832.37,2.83,1,0,0,0.0,17.37,45.0,-0.617,FORTIS
Squeeze Breakout,99008.54,-991.46,-0.99,1,0,1,0.0,5.26,173.0,-14.112,FORTIS
Keltner Tuned (ATR 2.0 + EMA),88354.59,-11645.41,-11.65,5,1,4,20.0,18.31,113.0,-2.025,GESHIP
Keltner + EMA Cross (NEW),99184.98,-815.02,-0.82,3,1,2,33.33,16.92,79.0,-3.666,GESHIP
Keltner Breakout (ATR 1.5),83914.53,-16085.47,-16.09,7,1,6,14.29,18.39,118.0,-1.419,GESHIP
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,GESHIP
Squeeze Breakout,88590.89,-11409.11,-11.41,5,1,4,20.0,13.64,195.0,-1.96,GESHIP
Keltner Tuned (ATR 2.0 + EMA),96416.21,-3583.79,-3.58,2,1,1,50.0,8.62,46.0,-4.627,GIPCL
